assay_id	assay_type	description	method	annotated_method	evaluation
1341750	F	Growth inhibition of mouse L1210 cells at inhibitor/deoxycytidine ratio 0.2 after 40 hrs by trypan blue exclusion assay	trypan blue exclusion assay	trypan blue exclusion assay	TP
547235	F	Growth inhibition of human MCF7 cells after 48 hrs by SRB assay	SRB assay	SRB assay	TP
1540049	F	Cell cycle arrest in human DU145 cells assessed as accumulation at G2/M phase at 2 uM after 24 hrs by propidium iodide staining based flow cytometric analysis (Rvb = 16.66%)	propidium iodide staining based flow cytometric analysis	propidium iodide staining based flow cytometric analysis	TP
1711780	F	Induction of apoptotic nuclear morphological changes in human MCF7 cells assessed as induction of DNA fragmentation at 12 uM incubated for 48 hrs by DAPI nuclear staining based fluorescence microscopy	fluorescence microscopy	DAPI nuclear staining based fluorescence microscopy	PM
1466901	F	Antimicrobial activity against methicillin-resistant Staphylococcus epidermidis isolate 457/11 after 18 hrs by twofold serial broth dilution method	twofold serial broth dilution method	twofold serial broth dilution method	TP
912337	F	Antiamnesic activity in scopolamine-induced amnesia Charles Foster albino Rattus norvegicus (rat) model assessed as transfer latency time at 200 mg/kg, ip measured after 30 min by elevated plus maze test		elevated plus maze test	FN
1983534	F	Effect on cell cycle pathway in human T47D cells assessed as fold enrichment in cell cycle genes incubated for 24 hrs relative to control			TN
2133132	F	Inhibition of tumor metastasis in cisplatin-resistant human A549 cells assessed as upregulation of p53 expression level at 5 to 15 uM measured after 24 hrs by western blot analysis	western blot analysis	western blot analysis	TP
987925	F	Induction of apoptosis in human EC109 cells assessed as damaged cells at 5 uM after 24 hrs by annexin V-FITC/propidium iodide staining-based flow cytometric analysis (Rvb = 0.1%)	annexin V-FITC/propidium iodide staining-based flow cytometric analysis	annexin V-FITC/propidium iodide staining-based flow cytometric analysis	TP
768145	F	Antiparasitic activity against Fasciola hepatica infected in rat assessed as reduction in worm burden at 50 mg/kg, po administered as single dose measured after 6 days post treatment			TN
1906241	F	Bactericidal activity against methicilline-resistant Staphylococcus aureus NRS385 USA500 incubated for 18 to 20 hrs followed by replating on tryptic soy agar plate and further incubated for 18 to 24 hrs by CLSI-based broth microdilution assay	CLSI-based broth microdilution assay	CLSI-based broth microdilution assay	TP
